src_iata,dst_iata,src_city,dst_city,distance_km,seats,load_factor,pax_onboard,avg_fare_inr,ancillary_inr,revenue_per_flight,fuel_liters_per_flight,fuel_cost_inr,fixed_cost_inr,total_cost_inr,margin_per_flight,margin_per_pax
CCU,PAT,Kolkata,Patina,472.0,78,0.72,56,3000.0,400.0,190400.0,1104.48,45673.544012405524,250000.0,295673.5440124055,-105273.5440124055,-1879.8847145072411
CCU,PNQ,Kolkata,Pune,1577.3,78,0.72,56,3000.0,400.0,190400.0,3690.88,152628.90240158924,250000.0,402628.9024015892,-212228.9024015892,-3789.8018285998073
CCU,RPR,Kolkata,Raipur,711.0,78,0.72,56,3000.0,400.0,190400.0,1663.74,68800.61396783967,250000.0,318800.6139678397,-128400.61396783969,-2292.868106568566
CJB,BOM,Coimbatore,Mumbai,1001.8,78,0.72,56,3000.0,400.0,190400.0,2344.21,96940.07914070073,250000.0,346940.07914070075,-156540.07914070075,-2795.358556083942
CJB,DEL,Coimbatore,Delhi,1950.0,78,0.72,56,3000.0,400.0,190400.0,4563.0,188693.66700040415,250000.0,438693.66700040415,-248293.66700040415,-4433.815482150074
CJB,MAA,Coimbatore,Madras,403.8,78,0.72,56,3000.0,400.0,190400.0,944.89,39074.02126057679,250000.0,289074.0212605768,-98674.02126057679,-1762.0360939388713
COK,BLR,Kochi,Bangalore,367.3,78,0.72,56,3000.0,400.0,190400.0,859.48,35542.06287826153,250000.0,285542.06287826155,-95142.06287826155,-1698.965408540385
COK,BOM,Kochi,Mumbai,1063.8,78,0.72,56,3000.0,400.0,190400.0,2489.29,102939.5700914828,250000.0,352939.57009148283,-162539.57009148283,-2902.4923230621935
COK,DEL,Kochi,Delhi,2048.9,78,0.72,56,3000.0,400.0,190400.0,4794.43,198263.98813866926,250000.0,448263.9881386693,-257863.9881386693,-4604.714073904809
COK,MAA,Kochi,Madras,517.7,78,0.72,56,3000.0,400.0,190400.0,1211.42,50095.83214499882,250000.0,300095.8321449988,-109695.83214499883,-1958.8541454464078
